game_name,publisher,developer,platform_id,rating,year,genre,game_id
Pitfall!,Activision,,16,,1981.0,Platform,241
Madden NFL 07,Electronic Arts,EA Sports,7,E,2006.0,Sports,242
Halo 5: Guardians,Microsoft Game Studios,343 Industries,18,T,2015.0,Shooter,243
Spider-Man: The Movie,Activision,Treyarch,7,E,2002.0,Action,244
Dragon Quest VII: Warriors of Eden,Enix Corporation,,13,,2000.0,Role-Playing,245
Call of Duty: Infinite Warfare,Activision,Infinity Ward,10,M,2016.0,Shooter,246
God of War,Sony Computer Entertainment,SCE Santa Monica,7,M,2005.0,Action,247
Splatoon,Nintendo,Nintendo,19,E10+,2015.0,Shooter,248
Nintendo Land,Nintendo,Nintendo,19,E10+,2012.0,Misc,249
Tony Hawk's Pro Skater 3,Activision,Neversoft Entertainment,7,T,2001.0,Sports,250
Winning Eleven: Pro Evolution Soccer 2007,Konami Digital Entertainment,Konami,7,E,2006.0,Sports,251
The Elder Scrolls IV: Oblivion,Take-Two Interactive,Bethesda Softworks,5,M,2006.0,Role-Playing,252
Zelda II: The Adventure of Link,Nintendo,,2,,1987.0,Adventure,253
Need for Speed: Most Wanted,Electronic Arts,EA Canada,7,T,2005.0,Racing,254
Michael Jackson: The Experience,Ubisoft,"Ubisoft Paris, Ubisoft Montpellier",1,E10+,2010.0,Misc,255
Call of Duty: Advanced Warfare,Activision,High Moon Studios,6,M,2014.0,Shooter,256
Resistance: Fall of Man,Sony Computer Entertainment,Insomniac Games,6,M,2006.0,Shooter,257
Sonic the Hedgehog,Sega,,21,,1991.0,Platform,258
Kingdom Hearts II,Square Enix,Square Enix,7,E10+,2005.0,Role-Playing,259
The Legend of Zelda: Ocarina of Time,Nintendo,,11,,2011.0,Action,260
Super Mario 3D World,Nintendo,Nintendo,19,E,2013.0,Platform,261
Minecraft,Sony Computer Entertainment Europe,,10,,2014.0,Misc,262
Asteroids,Atari,,16,,1980.0,Shooter,263
Call of Duty: Advanced Warfare,Activision,High Moon Studios,5,M,2014.0,Shooter,264
FIFA 15,Electronic Arts,EA Sports,6,E,2014.0,Sports,265
Fable II,Microsoft Game Studios,Lionhead Studios,5,M,2008.0,Role-Playing,266
Namco Museum,Namco Bandai Games,Mass Media,9,E,2001.0,Misc,267
Batman: Arkham Asylum,Eidos Interactive,Rocksteady Studios,6,T,2009.0,Action,268
Metal Gear Solid 3: Snake Eater,Konami Digital Entertainment,KCEJ,7,M,2004.0,Action,269
Assassin's Creed: Revelations,Ubisoft,Ubisoft Montreal,6,M,2011.0,Action,270
Fallout 4,Bethesda Softworks,Bethesda Game Studios,18,M,2015.0,Role-Playing,271
FIFA 14,Electronic Arts,EA Canada,5,E,2013.0,Sports,272
Daxter,Sony Computer Entertainment,Ready at Dawn,17,E10+,2006.0,Platform,273
Warcraft II: Tides of Darkness,Activision,,15,,1995.0,Strategy,274
FIFA Soccer 06,Electronic Arts,EA Canada,7,E,2005.0,Sports,275
EyeToy Play,Sony Computer Entertainment,"SCEE, Zoe Mode",7,E,2003.0,Misc,276
Gran Turismo 5 Prologue,Sony Computer Entertainment,Polyphony Digital,6,E,2007.0,Racing,277
Assassin's Creed: Revelations,Ubisoft,Ubisoft Montreal,5,M,2011.0,Action,278
FIFA 12,Electronic Arts,,5,,2011.0,Sports,279
Teenage Mutant Ninja Turtles,Palcom,,2,,1989.0,Action,280
Street Fighter IV,Capcom,Capcom,6,T,2009.0,Fighting,281
Excitebike,Nintendo,,2,,1984.0,Racing,282
Frogger,Hasbro Interactive,,13,,1997.0,Action,283
Madden NFL 2003,Electronic Arts,EA Sports,7,E,2002.0,Sports,284
Half-Life,Vivendi Games,Valve Software,15,M,1997.0,Shooter,285
Super Mario World 2: Yoshi's Island,Nintendo,,8,,1995.0,Platform,286
FIFA Soccer 07,Electronic Arts,,7,,2006.0,Sports,287
Street Fighter II Turbo,Capcom,,8,,1992.0,Fighting,288
World of Warcraft: The Burning Crusade,Activision,Blizzard Entertainment,15,T,2007.0,Role-Playing,289
Battlefield 1,Electronic Arts,EA DICE,10,M,2016.0,Shooter,290
